Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-20,137.0500030517578,137.3000030517578,136.4499969482422,136.60000610351562,14516056,0,0
2021-10-21,136.6999969482422,137.8000030517578,136.10000610351562,136.10000610351562,13050164,0,0
2021-10-22,136.25,136.75,135.64999389648438,136.5,5187356,0,0
2021-10-25,136.0,136.6999969482422,135.1999969482422,136.39999389648438,7340396,0,0
2021-10-26,136.64999389648438,137.75,136.60000610351562,137.5500030517578,10502981,0,0
2021-10-27,136.9499969482422,137.5500030517578,136.6999969482422,137.5500030517578,7387585,0,0
2021-10-28,137.4499969482422,137.64999389648438,136.60000610351562,137.14999389648438,4443894,0,0
2021-10-29,137.0500030517578,137.0500030517578,135.35000610351562,135.8000030517578,4945836,0,0
2021-11-01,136.1999969482422,136.75,136.1999969482422,136.5,3018463,0,0
2021-11-02,136.8000030517578,137.64999389648438,136.14999389648438,136.25,3982577,0,0
2021-11-03,136.39999389648438,137.0,136.39999389648438,136.60000610351562,2323882,0,0
2021-11-04,137.25,137.5,136.14999389648438,136.14999389648438,2509320,0,0
2021-11-05,137.10000610351562,138.1999969482422,136.8000030517578,138.10000610351562,11602590,0,0
