Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,523.2758900656629,533.1490200669018,521.3012640654151,529.1997680664062,38770328,0.0,0
2021-01-05,529.1997187427929,535.1235961914062,528.2124058346907,535.1235961914062,34411866,0.0,0
2021-01-06,547.9586675258282,547.9586675258282,534.1362867233748,542.0347900390625,53030554,0.0,0
2021-01-07,546.9713452364491,562.7683515970685,545.9840323389104,557.831787109375,51166782,0.0,0
2021-01-08,572.6415405273438,572.6415405273438,563.7557235191608,572.6415405273438,59563555,0.0,0
2021-01-11,569.6795686695674,576.5907592773438,566.7176298376633,576.5907592773438,48810990,0.0,0
2021-01-12,575.6034495293993,589.4258308217005,574.6161365799493,583.501953125,50232426,0.0,0
2021-01-13,587.451151193666,597.3242797851562,585.476525475368,597.3242797851562,62662393,0.0,0
2021-01-14,579.5526931350296,589.4258224899705,579.5526931350296,584.4892578125,75288477,0.0,0
2021-01-15,613.1213823721531,617.0706344325213,593.3751220703124,593.3751220703125,92010500,0.0,0
2021-01-18,600.286263128089,600.286263128089,586.4638820692185,599.2989501953125,45726476,0.0,0
2021-01-19,610.1594103945499,623.9817918597986,605.2228455855325,619.0452270507812,50672866,0.0,0
2021-01-20,624.9690623452896,641.7533815551947,622.994436555889,638.7914428710938,82066422,0.0,0
2021-01-21,631.8802818536404,670.3854865290966,631.8802818536404,664.4616088867188,89019137,0.0,0
2021-01-22,640.76611328125,656.5631206965043,640.76611328125,640.76611328125,125179403,0.0,0
2021-01-25,633.8548711261478,637.8041226596441,618.0578649921629,624.9690551757812,93050133,0.0,0
2021-01-26,623.9817515764283,631.88025476094,602.260867819021,609.1720581054688,100153482,0.0,0
2021-01-27,610.1593875047638,617.0705779781186,603.2481970314088,607.1974487304688,59985191,0.0,0
2021-01-28,592.3878090552204,600.2863131759567,590.4131830250363,593.3751220703125,96447533,0.0,0
2021-01-29,611.1467157096024,611.1467157096024,583.501953125,583.501953125,90745237,0.0,0
2021-02-01,587.4512223214057,604.2355429591602,579.5527184918742,603.2482299804688,67462398,0.0,0
2021-02-02,621.019872544687,629.9056894809385,614.1086815942691,623.9818115234375,78429188,0.0,0
2021-02-03,629.9057063027033,633.8549583798363,622.0072021484374,622.0072021484375,48738970,0.0,0
2021-02-04,618.0579140889777,623.9817918597986,612.1340363181569,619.0452270507812,46371900,0.0,0
2021-02-05,629.9056894809385,632.867628459689,622.9944985305207,623.9818115234375,53267273,0.0,0
2021-02-17,654.5885009765626,659.5250658406392,651.6265620581166,654.5885009765625,107614290,0.0,0
2021-02-18,655.5757775508996,656.5630904688979,647.6772742069129,651.6265258789062,53109010,0.0,0
2021-02-19,647.6772790452454,648.6645919706192,638.7914627168808,643.72802734375,50279585,0.0,0
2021-02-22,651.6264855018028,653.6011112154447,641.7533569335938,641.7533569335938,36474610,0.0,0
2021-02-23,632.8676147460938,634.8422406891393,624.9691109739117,632.8676147460938,50076333,0.0,0
2021-02-24,619.0452436523437,627.931060546875,617.0706176757811,617.0706176757812,66206750,0.0,0
2021-02-25,627.9310385396162,627.9310385396162,620.0325349101871,626.9437255859375,43231417,0.0,0
2021-02-26,603.2482102397252,610.1594008644029,598.3116455078125,598.3116455078125,111861175,0.0,0
2021-03-02,613.1213766765126,614.1086896824329,601.2736206054689,601.2736206054688,54041533,0.0,0
2021-03-03,601.2735744856561,614.1086425781249,593.3750710441368,614.108642578125,48252965,0.0,0
2021-03-04,601.2736261910487,603.2482522212327,593.3751220703124,593.3751220703125,67711962,0.0,0
2021-03-05,580.540052874116,597.3243741306806,576.5908008137478,593.3751220703125,79918467,0.0,0
2021-03-08,600.286276520694,602.2609024303015,590.4131469726562,590.4131469726562,43219772,0.0,0
2021-03-09,577.5780429359244,587.4511718750001,577.5780429359244,587.451171875,68768861,0.0,0
2021-03-10,593.3750941597636,593.3750941597636,585.4765904105487,589.4258422851562,40146301,0.0,0
2021-03-11,588.4385515285048,604.2355596232297,587.4512385225845,601.2736206054688,54416046,0.0,0
2021-03-12,607.1974569811495,610.1593957956917,601.2735793520651,606.2101440429688,33168846,0.0,0
2021-03-15,606.210168916543,606.210168916543,601.2736040230858,603.2482299804688,27416758,0.0,0
2021-03-16,602.2609005005481,605.2228393554688,599.2989616456274,605.2228393554688,36949425,0.0,0
2021-03-17,606.7099011149628,606.7099011149628,596.7963406392281,598.779052734375,39517807,2.5,0
2021-03-18,600.7617497745147,603.7358178427054,596.7963256835938,596.7963256835938,29415526,0.0,0
2021-03-19,588.8654865710263,592.8309107230198,585.8914184570312,585.8914184570312,70866028,0.0,0
2021-03-22,582.9173651915578,592.8309258240673,580.934653065056,587.8741455078125,34089033,0.0,0
2021-03-23,591.8395465889363,597.7876827355587,587.874122491188,588.865478515625,29374037,0.0,0
2021-03-24,566.0643376244439,576.9692548116047,566.0643376244439,571.0211181640625,107253959,0.0,0
2021-03-25,567.0556559952445,575.9778603727921,565.0729439113451,570.0297241210938,67833354,0.0,0
2021-03-26,576.9692368329581,586.8827976032838,574.9865246788929,584.9000854492188,36829858,0.0,0
2021-03-29,593.8222045898438,596.796272392464,590.8481367872234,593.8222045898438,37884733,0.0,0
2021-03-30,594.813606607255,594.813606607255,586.8827585191583,591.8395385742188,33099123,0.0,0
2021-03-31,590.8481682382613,591.8395242252383,581.9259643554688,581.9259643554688,38790886,0.0,0
2021-04-01,592.830901592673,596.7963256835938,588.865477501752,596.7963256835938,43091157,0.0,0
2021-04-07,608.692596935835,608.692596935835,602.7444608094262,604.7271728515625,24603109,0.0,0
2021-04-08,600.7618011922665,607.7012939453124,597.7877328695324,607.7012939453125,23976625,0.0,0
2021-04-09,612.6580210201075,612.6580210201075,603.7358168304943,604.7271728515625,27303862,0.0,0
2021-04-12,606.7098778086261,607.7012338181172,597.7876737232051,599.7703857421875,22606128,0.0,0
